Year,Quarter,Vehicle Category,Count,QoQ_Growth (%)
2023,Q4,TWO WHEELER (INVALID CARRIAGE),5312,-23.5
2024,Q1,TWO WHEELER (INVALID CARRIAGE),6525,22.84
2024,Q2,TWO WHEELER (INVALID CARRIAGE),3032,-53.53
2024,Q3,TWO WHEELER (INVALID CARRIAGE),3252,7.26
2024,Q4,TWO WHEELER (INVALID CARRIAGE),3055,-6.06
2025,Q1,TWO WHEELER (INVALID CARRIAGE),10581,246.35
2025,Q2,TWO WHEELER (INVALID CARRIAGE),4165,-60.64
2022,Q1,TWO WHEELER(NT),3545553,
2022,Q2,TWO WHEELER(NT),3918923,10.53
2022,Q3,TWO WHEELER(NT),3390268,-13.49
2022,Q4,TWO WHEELER(NT),4711056,38.96
2023,Q1,TWO WHEELER(NT),3987564,-15.36
2023,Q2,TWO WHEELER(NT),4042525,1.38
2023,Q3,TWO WHEELER(NT),3803043,-5.92
2023,Q4,TWO WHEELER(NT),5223287,37.34
2024,Q1,TWO WHEELER(NT),4441378,-14.97
2024,Q2,TWO WHEELER(NT),4566477,2.82
2024,Q3,TWO WHEELER(NT),3997614,-12.46
2024,Q4,TWO WHEELER(NT),5899192,47.57
2025,Q1,TWO WHEELER(NT),4405520,-25.32
2025,Q2,TWO WHEELER(NT),4802679,9.02
2022,Q1,TWO WHEELER(T),3042,
2022,Q2,TWO WHEELER(T),5076,66.86
2022,Q3,TWO WHEELER(T),4275,-15.78
2022,Q4,TWO WHEELER(T),6596,54.29
2023,Q1,TWO WHEELER(T),3500,-46.94
2023,Q2,TWO WHEELER(T),3763,7.51
2023,Q3,TWO WHEELER(T),4469,18.76
2023,Q4,TWO WHEELER(T),4702,5.21
2024,Q1,TWO WHEELER(T),3651,-22.35
2024,Q2,TWO WHEELER(T),4200,15.04
2024,Q3,TWO WHEELER(T),5187,23.5
2024,Q4,TWO WHEELER(T),6444,24.23
2025,Q1,TWO WHEELER(T),3955,-38.63
2025,Q2,TWO WHEELER(T),4657,17.75
