Year,Quarter,Vehicle_Type,Category,Manufacturer,Registration_Count,YoY_Growth,QoQ_Growth
2023,Q1,4W,HEAVY MOTOR VEHICLE,All,1491,,-4.73
2023,Q2,4W,HEAVY MOTOR VEHICLE,All,1727,,15.83
2023,Q3,4W,HEAVY MOTOR VEHICLE,All,1312,,-24.03
2023,Q4,4W,HEAVY MOTOR VEHICLE,All,1251,,-4.65
2024,Q1,4W,HEAVY MOTOR VEHICLE,All,1249,,-0.16
2024,Q2,4W,HEAVY MOTOR VEHICLE,All,1210,,-3.12
2024,Q3,4W,HEAVY MOTOR VEHICLE,All,1011,,-16.45
2024,Q4,4W,HEAVY MOTOR VEHICLE,All,1023,,1.19
2025,Q1,4W,HEAVY MOTOR VEHICLE,All,1194,,16.72
2025,Q2,4W,HEAVY MOTOR VEHICLE,All,1339,,12.14
2022,Q1,4W,HEAVY PASSENGER VEHICLE,All,2910,,
2022,Q2,4W,HEAVY PASSENGER VEHICLE,All,2810,,-3.44
2022,Q3,4W,HEAVY PASSENGER VEHICLE,All,3814,,35.73
2022,Q4,4W,HEAVY PASSENGER VEHICLE,All,3889,,1.97
2023,Q1,4W,HEAVY PASSENGER VEHICLE,All,5186,,33.35
2023,Q2,4W,HEAVY PASSENGER VEHICLE,All,6101,,17.64
2023,Q3,4W,HEAVY PASSENGER VEHICLE,All,4740,,-22.31
2023,Q4,4W,HEAVY PASSENGER VEHICLE,All,5678,,19.79
2024,Q1,4W,HEAVY PASSENGER VEHICLE,All,8344,,46.95
2024,Q2,4W,HEAVY PASSENGER VEHICLE,All,7967,,-4.52
2024,Q3,4W,HEAVY PASSENGER VEHICLE,All,7818,,-1.87
2024,Q4,4W,HEAVY PASSENGER VEHICLE,All,8477,,8.43
2025,Q1,4W,HEAVY PASSENGER VEHICLE,All,8964,,5.74
2025,Q2,4W,HEAVY PASSENGER VEHICLE,All,9521,,6.21
2022,Q1,4W,LIGHT GOODS VEHICLE,All,148226,,
2022,Q2,4W,LIGHT GOODS VEHICLE,All,141114,,-4.8
2022,Q3,4W,LIGHT GOODS VEHICLE,All,145169,,2.87
2022,Q4,4W,LIGHT GOODS VEHICLE,All,158685,,9.31
2023,Q1,4W,LIGHT GOODS VEHICLE,All,163086,,2.77
2023,Q2,4W,LIGHT GOODS VEHICLE,All,138707,,-14.95
2023,Q3,4W,LIGHT GOODS VEHICLE,All,144023,,3.83
2023,Q4,4W,LIGHT GOODS VEHICLE,All,157469,,9.34
2024,Q1,4W,LIGHT GOODS VEHICLE,All,158623,,0.73
2024,Q2,4W,LIGHT GOODS VEHICLE,All,135792,,-14.39
2024,Q3,4W,LIGHT GOODS VEHICLE,All,134316,,-1.09
2024,Q4,4W,LIGHT GOODS VEHICLE,All,155231,,15.57
2025,Q1,4W,LIGHT GOODS VEHICLE,All,160393,,3.33
2025,Q2,4W,LIGHT GOODS VEHICLE,All,135843,,-15.31
2022,Q1,4W,LIGHT MOTOR VEHICLE,All,1008401,,
2022,Q2,4W,LIGHT MOTOR VEHICLE,All,1006935,,-0.15
2022,Q3,4W,LIGHT MOTOR VEHICLE,All,1000573,,-0.63
2022,Q4,4W,LIGHT MOTOR VEHICLE,All,1117868,,11.72
2023,Q1,4W,LIGHT MOTOR VEHICLE,All,1144387,,2.37
2023,Q2,4W,LIGHT MOTOR VEHICLE,All,1049482,,-8.29
2023,Q3,4W,LIGHT MOTOR VEHICLE,All,1085059,,3.39
2023,Q4,4W,LIGHT MOTOR VEHICLE,All,1159895,,6.9
2024,Q1,4W,LIGHT MOTOR VEHICLE,All,1217108,,4.93
2024,Q2,4W,LIGHT MOTOR VEHICLE,All,1054952,,-13.32
2024,Q3,4W,LIGHT MOTOR VEHICLE,All,1050140,,-0.46
2024,Q4,4W,LIGHT MOTOR VEHICLE,All,1293401,,23.16
2025,Q1,4W,LIGHT MOTOR VEHICLE,All,1282930,,-0.81
2025,Q2,4W,LIGHT MOTOR VEHICLE,All,1097830,,-14.43
2022,Q1,4W,LIGHT PASSENGER VEHICLE,All,29452,,
2022,Q2,4W,LIGHT PASSENGER VEHICLE,All,39243,,33.24
2022,Q3,4W,LIGHT PASSENGER VEHICLE,All,49538,,26.23
2022,Q4,4W,LIGHT PASSENGER VEHICLE,All,46654,,-5.82
2023,Q1,4W,LIGHT PASSENGER VEHICLE,All,55604,,19.18
2023,Q2,4W,LIGHT PASSENGER VEHICLE,All,68760,,23.66
2023,Q3,4W,LIGHT PASSENGER VEHICLE,All,86092,,25.21
2023,Q4,4W,LIGHT PASSENGER VEHICLE,All,74472,,-13.5
2024,Q1,4W,LIGHT PASSENGER VEHICLE,All,95373,,28.07
2024,Q2,4W,LIGHT PASSENGER VEHICLE,All,94351,,-1.07
2024,Q3,4W,LIGHT PASSENGER VEHICLE,All,93258,,-1.16
2024,Q4,4W,LIGHT PASSENGER VEHICLE,All,81620,,-12.48
2025,Q1,4W,LIGHT PASSENGER VEHICLE,All,99886,,22.38
2025,Q2,4W,LIGHT PASSENGER VEHICLE,All,98258,,-1.63
2022,Q1,4W,MEDIUM GOODS VEHICLE,All,11113,,
2022,Q2,4W,MEDIUM GOODS VEHICLE,All,9931,,-10.64
2022,Q3,4W,MEDIUM GOODS VEHICLE,All,8545,,-13.96
2022,Q4,4W,MEDIUM GOODS VEHICLE,All,8863,,3.72
2023,Q1,4W,MEDIUM GOODS VEHICLE,All,9553,,7.79
2023,Q2,4W,MEDIUM GOODS VEHICLE,All,9003,,-5.76
2023,Q3,4W,MEDIUM GOODS VEHICLE,All,9122,,1.32
2023,Q4,4W,MEDIUM GOODS VEHICLE,All,9771,,7.11
2024,Q1,4W,MEDIUM GOODS VEHICLE,All,9686,,-0.87
2024,Q2,4W,MEDIUM GOODS VEHICLE,All,9174,,-5.29
2024,Q3,4W,MEDIUM GOODS VEHICLE,All,9532,,3.9
2024,Q4,4W,MEDIUM GOODS VEHICLE,All,9583,,0.54
2025,Q1,4W,MEDIUM GOODS VEHICLE,All,11232,,17.21
2025,Q2,4W,MEDIUM GOODS VEHICLE,All,10249,,-8.75
2022,Q1,4W,MEDIUM MOTOR VEHICLE,All,3924,,
2022,Q2,4W,MEDIUM MOTOR VEHICLE,All,3469,,-11.6
2022,Q3,4W,MEDIUM MOTOR VEHICLE,All,3236,,-6.72
2022,Q4,4W,MEDIUM MOTOR VEHICLE,All,4106,,26.89
2023,Q1,4W,MEDIUM MOTOR VEHICLE,All,3294,,-19.78
2023,Q2,4W,MEDIUM MOTOR VEHICLE,All,2857,,-13.27
2023,Q3,4W,MEDIUM MOTOR VEHICLE,All,2508,,-12.22
2023,Q4,4W,MEDIUM MOTOR VEHICLE,All,3043,,21.33
2024,Q1,4W,MEDIUM MOTOR VEHICLE,All,3238,,6.41
2024,Q2,4W,MEDIUM MOTOR VEHICLE,All,2609,,-19.43
2024,Q3,4W,MEDIUM MOTOR VEHICLE,All,2235,,-14.33
2024,Q4,4W,MEDIUM MOTOR VEHICLE,All,2850,,27.52
2025,Q1,4W,MEDIUM MOTOR VEHICLE,All,2870,,0.7
2025,Q2,4W,MEDIUM MOTOR VEHICLE,All,2486,,-13.38
2022,Q1,4W,MEDIUM PASSENGER VEHICLE,All,1823,,
